DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Nyamedo's Issue,Nyamedo,200,Fixed,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Transport,Fuel,Goil,100,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Cap production,Morris,610,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Crop top sample,Dzifa,60,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics,Town,100,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Magazine,Bonnyface,150,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,T-shirts,Super,1020,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Newspaper,Total prints,70,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Bulk sms,Hubtel,60,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Brunch,Icy cup,100,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Efo sew,Efo,40,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Embroidery,Morris,30,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Stencils cut out,Pex print,20,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Brunch,Icy cup,85,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Caps,Town,70,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Cards,Vytal prints,14,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics,Town,391,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Studio,Milan,400,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,T-shirts,Town,130,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Stickers,Vytal prints,40,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics,Town,80,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,t-shirt,Segoe lane,100,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Caps,Town,375,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Waza fabrics,Town,250,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,T-shirts,Segoe lane,200,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Dtf,NAKON,20,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Delivery,Crop tops,Bus,125,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Editing,Obededom,300,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,T-shirt,Town,270,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Dtf,Asafo,40,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics,Woodin,1042,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,T-shirts,Segoe lane,900,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Box,Accra,1000,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Tag,Accra,450,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,label,Accra,300,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Tissue wrapper,Accra,200,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Prototype Fabrics,Town,170,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Poly Bags,Accra,320,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Delivery,Boxes,OA,150,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Delivery,Poly bags,VIP,30,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Tote bag board,MR Owusu,100,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Dtf,NAKON,91,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Cardboard & Sample,MK,200,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Tote bags,Angela,90,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Ropes,Town,40,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
