DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,DATE,EXPENSE CATEGORY,DESCRIPTION,AMOUNT,,,,,,,,,,,,,
2026-01-01,,Production,Paper bags,all purpose,1800,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-01,Marketing,FACEBK UDFSYJ92S2,284.66,,,,,,,,,,,,,
2026-01-02,,Production,Paper bags,all purpose,1801,variable,"Paid by Owner, Paajoe",,2026-04-02,Transport,Rider/dispatch fee,55,,,,,,,,,,,,,
2026-01-03,,Production,Envelope,all purpose,250,variable,"Paid by Owner, Paajoe",,2026-04-05,AI Tools (Pakeru),Claude sub,236.5,,,,,,,,,,,,,
2026-01-04,,Production,Signature card,all purpose,200,variable,"Paid by Owner, Paajoe",,2026-04-06,Utilities,Electricity,400,,,,,,,,,,,,,
2026-01-05,,Marketing,Ads,Instagram,64.96,variable,"Paid by Owner, Paajoe",,2026-04-07,Production,Fuel,200,,,,,,,,,,,,,
2026-01-05,,Production,Care Card,all purpose,150,variable,"Paid by Owner, Paajoe",,2026-04-08,AI Tools (Pakeru),Render hosting,82.5,,,,,,,,,,,,,
2026-01-06,,Production,Boxes,all purpose,1000,variable,"Paid by Owner, Paajoe",,2026-04-08,Production (Pakeru),Bank deposit to Pakeru Ltd account,300,,,,,,,,,,,,,
2026-01-07,,Marketing,Ads,Instagram,64.96,variable,"Paid by Owner, Paajoe",,2026-04-09,Production,Electricity,800,,,,,,,,,,,,,
2026-01-08,,Marketing,Ads,Instagram,196,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-09,Utilities,Water,60,,,,,,,,,,,,,
2026-01-09,,Marketing,Ads,Instagram,64.96,variable,"Paid by Owner, Paajoe",,2026-04-10,Production,Delivery,50,,,,,,,,,,,,,
2026-01-14,,Marketing,Ads,Instagram,270.67,variable,"Paid by Owner, Paajoe",,2026-04-10,Marketing,Ai,374.688,,,,,,,,,,,,,
2026-01-15,,Marketing,Ads,Instagram,129.92,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-10,AI Tools (Pakeru),Anthropic API,71.08,,,,,,,,,,,,,
2026-01-28,,Marketing,Ai,Higgsfield,522.03,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-12,Production,Fuel,500,,,,,,,,,,,,,
2026-01-31,,Production,Tape measure,Town,14,variable,"Paid by Owner, Paajoe",,2026-04-12,AI Tools (Pakeru),Higgsfield AI,403.15,,,,,,,,,,,,,
2026-01-31,,Production,Gloves,Town,70,variable,"Paid by Owner, Paajoe",,2026-04-12,AI Tools (Pakeru),Anthropic API,71.08,,,,,,,,,,,,,
2026-01-31,,Marketing,Leather Bag,Town,80,variable,"Paid by Owner, Paajoe",,2026-04-16,Production,Fuel,200,,,,,,,,,,,,,
2026-01-31,,Production,Brown Envelope,Town,40,variable,"Paid by Owner, Paajoe",,2026-04-16,Production,Plastic band,80.5,,,,,,,,,,,,,
2026-01-31,,Marketing,cards,Aseda House,40,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-16,Production,Thread,54,,,,,,,,,,,,,
2026-01-31,,Marketing,Printing,Vytal,14,variable,"Paid by Owner, Kwadwo Siaw",,2026-04-16,Production,Metal locks,10,,,,,,,,,,,,,
2026-02-05,,Other,Bus,VIP,240,variable,"Paid by Owner, Paajoe",,2026-04-16,Production,Food,162.5,,,,,,,,,,,,,
2026-02-05,,Other,Transport,Bolt,50,variable,"Paid by Owner, Paajoe",,2026-04-16,Personal Subs,Google One storage,6,,,,,,,,,,,,,
2026-02-05,,Other,Food,Linda dor,50,variable,"Paid by Owner, Paajoe",,2026-04-17,Production,Knitting thread,118,,,,,,,,,,,,,
2026-02-05,,Other,Transport,Motor,280,variable,"Paid by Owner, Paajoe",,2026-04-18,AI Tools (Pakeru),Anthropic API,142.67,,,,,,,,,,,,,
