DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,,,,,,,,,,,,,,,,,
1/1/2026,,Production,Paper bags,all purpose,"₵1,800",variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2/1/2026,,Production,Paper bags,all purpose,"₵1,801",variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
3/1/2026,,Production,Envelope,all purpose,₵250,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
4/1/2026,,Production,Signature card,all purpose,₵200,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
5/1/2026,,Marketing,Ads,Instagram,₵65,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
5/1/2026,,Production,Care Card,all purpose,₵150,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
6/1/2026,,Production,Boxes,all purpose,"₵1,000",variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
7/1/2026,,Marketing,Ads,Instagram,₵65,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
8/1/2026,,Marketing,Ads,Instagram,₵196,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
9/1/2026,,Marketing,Ads,Instagram,₵65,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
14/1/2026,,Marketing,Ads,Instagram,₵271,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
15/1/2026,,Marketing,Ads,Instagram,₵130,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
28/1/2026,,Marketing,Ai,Higgsfield,₵522,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
31/1/2026,,Production,Tape measure,Town,₵14,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
31/1/2026,,Production,Gloves,Town,₵70,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
31/1/2026,,Marketing,Leather Bag,Town,₵80,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
31/1/2026,,Production,Brown Envelope,Town,₵40,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
31/1/2026,,Marketing,cards,Aseda House,₵40,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
31/1/2026,,Marketing,Printing,Vytal,₵14,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-02-05,,Other,Bus,VIP,₵240,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
