PAKERU — COST ASSUMPTIONS,,
Standard cost breakdown per product category  ·  Blue cells are editable inputs,,
,,
Linen Shirts — Long Sleeve   ·   9 products,,
Cost Item,Description / Notes,Amount (₵)
Material Cost,Premium linen fabric per garment,140
Labor Cost,"Cutting, sewing & detailed finishing",200
Packaging,"Rigid box, tissue paper, hangtag & bag",84
TOTAL COGS,,424
Products in this category,,
Olive Linen,ELITE,
Coastal,ELITE,
Soleil,ELITE,
Shore,ELITE,
Sahel,ELITE,
Traverse,ELITE,
Meridian Stripe,ELITE,
Linear Rebellion Linen,ELITE,
Signature Essential Linen,EDITION,
,,
,,
Linen Shirts — Short Sleeve   ·   8 products,,
Cost Item,Description / Notes,Amount (₵)
Material Cost,Premium linen fabric per garment,140
Labor Cost,"Cutting, sewing & finishing (SS construction)",200
Packaging,"Rigid box, tissue paper, hangtag & bag",84
TOTAL COGS,,424
Products in this category,,
The Linear Heritage Shirt,ELITE,
Nomad Essential Short Sleeve,ELITE,
Grandad Short Sleeve Linen,ELITE,
Grandad Rebellion Linen,ELITE,
The Lido,EDITION,
The Capri,EDITION,
The Canopy,EDITION,
The Terracotta,EDITION,
,,
,,
Overshirts   ·   3 products,,
Cost Item,Description / Notes,Amount (₵)
Material Cost,Woven / structured fabric per garment,100
Labor Cost,"Cutting, sewing & finishing",150
Packaging,"Rigid box, tissue paper, hangtag & bag",84
TOTAL COGS,,334
Products in this category,,
Verdant Overshirt,ELITE,
Horizon Overshirt,EDITION,
Strata Overshirt,EDITION,
,,
,,
Trousers & Tailored Pants   ·   4 products,,
Cost Item,Description / Notes,Amount (₵)
Material Cost,Linen / suiting fabric per garment,210
Labor Cost,"Tailoring, lining & detailed finishing",150
Packaging,"Rigid box, tissue paper, hangtag & bag",84
TOTAL COGS,,444
Products in this category,,
Riviera Drawstring Trouser,ELITE,
Essential Linen Trouser,ELITE,
Sovereign Tailored Trouser,EDITION,
Flow Tailored Pants,EDITION,
,,
,,
Volume & Cargo Pants   ·   4 products,,
Cost Item,Description / Notes,Amount (₵)
Material Cost,Heavy cotton / denim fabric per garment,125
